id,name,address,latitude,longitude,poker_atlas_links
149,Spades Poker House,"20798 Gulf Fwy, Webster, TX 77598",29.52556,-95.1288,www.pokeratlas.com/poker-room/spades-poker-house-webster
150,Capri Poker Room,"155 W Bay Area Blvd, Webster, TX 77598",29.54736,-95.12964,www.pokeratlas.com/poker-room/capri-poker-room-webster
151,Champions Club Poker,"6440 W Sam Houston Pkwy S, Houston, TX",29.70751,-95.55923,www.pokeratlas.com/poker-room/champions-club-houston
152,Empire Poker Club Katy,"22233 Katy Fwy, Katy, TX 77450",29.78707,-95.8016,www.pokeratlas.com/poker-room/
153,101 Poker Club,"20900 Katy Fwy, Katy, TX 77449",29.78707,-95.73378,www.pokeratlas.com/poker-room/101-poker-club-katy
154,Empire Poker Club,"9296 Westheimer Rd, Houston, TX 77063",29.73812,-95.52609,www.pokeratlas.com/poker-room/empire-poker-club-houston
155,Prime Social Poker Club,"7801 Westheimer Road, Houston, TX 77063",29.73751,-95.50539,www.pokeratlas.com/poker-room/prime-social-houston
156,Texas Card House Houston,"6100 Westheimer Road suite 142, Houston, TX 77057",29.73913,-95.49092,www.pokeratlas.com/poker-room/texas-card-house-houston
158,Legends Poker Room,"9275 Richmond Ave. suite 101, Houston, TX 77063",29.72797,-95.52749,www.pokeratlas.com/poker-room/legends-poker-room-houston
159,Alpha Social Card Club,"105 E Scott Ave, Wichita Falls, TX 76301",33.90429,-98.48525,www.pokeratlas.com/poker-room/alpha-social-card-club-wichita-falls
160,Texline Card House,"4218 Gibson Lane, Texarkana, TX 75503",33.45967,-94.09487,www.pokeratlas.com/poker-room/texline-card-house-texarkana
161,St. Croix Casino Turtle Lake,"777 Highway 8/63, Turtle Lake, WI 54889",45.39714,-92.14975,www.pokeratlas.com/poker-room/st-croix-casino-turtle-lake
162,Oneida Casino,"2020 Airport Dr, Green Bay, WI 54313",44.49729,-88.12144,www.pokeratlas.com/poker-room/oneida-casino-green-bay
163,Island Casino,"W399 US Highway 2 and US Highway 41, Harris, MI 49845",45.70238,-87.33971,www.pokeratlas.com/poker-room/island-casino-harris
164,Odawa Casino,"1760 Lears Rd, Petoskey, MI 49770",45.35304,-84.97818,www.pokeratlas.com/poker-room/odawa-casino-petoskey
165,Huron Poker Room,"240 Chrysler Rd, Oscoda, MI 48750",44.42108,-83.34276,www.pokeratlas.com/poker-room/huron-poker-room-oscoda
166,Soaring Eagle Casino,"6800 E, Soaring Eagle Boulevard, Mount Pleasant, MI",43.60904,-84.71353,www.pokeratlas.com/poker-room/soaring-eagle-mt-pleasant
167,Muskegon Poker Room,"1751 Evanston Ave, Muskegon, MI 49442",43.221959,-86.201195,www.pokeratlas.com/poker-room/muskegon-poker-room
168,The Saginaw Poker Room,"7212 Gratiot Rd, Saginaw, MI 48609",43.41596,-84.05631,www.pokeratlas.com/poker-room/the-saginaw-poker-room
169,Rounders Poker Room Saginaw,"3325 Davenport Ave, Saginaw, MI 48602",43.437251,-83.988275,www.pokeratlas.com/poker-room/
170,The Event Spot Poker Room,"5601 West Saginaw Highway, Lansing, MI 48917",42.74043,-84.62849,www.pokeratlas.com/poker-room/event-spot-clawson
171,FireKeepers Casino,"11177 E. Michigan Ave., Battle Creek, MI 49014",42.29702,-85.07547,www.pokeratlas.com/poker-room/firekeepers-battle-creek
172,Burton Eagle's Poker Room,"3317 E Bristol Rd, Burton, MI 48529",42.975763,-83.641967,www.pokeratlas.com/poker-room/burton-eagles
173,Legends Poker Place of Metamora,"3546 S Lapeer Rd, Metamora, MI 48455",42.95509,-83.31306,www.pokeratlas.com/poker-room/legends-poker-place-metamora
174,Waterford Card Room at 300 Bowl,"100 S Cass Lake Rd, Waterford, MI 48328",42.63757,-83.35656,www.pokeratlas.com/poker-room/300-bowl-waterford
175,Langan's All Star Poker Room,"257 Ladd Road, Walled Lake, MI 48390",42.53076,-83.49288,www.pokeratlas.com/poker-room/all-star-walled-lake
176,Krazy Kopz at Vision Lanes,"38250 Ford Rd, Westland, MI 48185",42.3247,-83.41683,www.pokeratlas.com/poker-room/krazy-kopz-westland
177,Rosemack Poker Room,"20791 East 13 Mile Road, Roseville, MI 48066",42.52607,-82.90738,www.pokeratlas.com/poker-room/rosemack-roseville
178,DiCicco's Poker Room,"52963 Van Dyke Avenue, Shelby Township, MI 48316",42.68387,-83.0348,www.pokeratlas.com/poker-room/diciccos-poker-room-shelby-township
179,One Eyed Jacks/G's Charity Poker,"56129 Van Dyke Ave, Shelby Township, MI 48316",42.65445,-83.0313,www.pokeratlas.com/poker-room/gs-charity-poker-shelby-township
180,Paradise Poker,"13461 Hall Rd, Utica, MI 48315",42.62828,-82.9913,www.pokeratlas.com/poker-room/paradise-poker-utica
181,Motor City Casino,"2901 Grand River Avenue, Detroit, MI 48201",42.33907,-83.06779,www.pokeratlas.com/poker-room/
182,MGM Grand Detroit,"1777 Third St., Detroit, MI 48226",42.33365,-83.06019,www.pokeratlas.com/poker-room/mgm-grand-detroit
183,Hollywood Casino at Greektown,"1200 St Antoine, Detroit, MI 48226",42.33615,-83.04095,www.pokeratlas.com/poker-room/
184,Running Aces,"15201 Zurich Street NE, Forest Lake, MN 55025",45.24489,-93.03391,www.pokeratlas.com/poker-room/running-aces-forest-lake
185,Canterbury Park,"1100 Canterbury Road, Shakopee, MN 55379",44.79055,-93.48373,www.pokeratlas.com/poker-room/canterbury-park-shakopee
